collective_deg,CT_exp,CQ_exp,CQ_dash_exp,Tc_exp,Qc_exp
0,0,0.000268,0,0,0.44
1,0.000287,0.000274,0.000006,0.040,0.45
2,0.001042,0.000300,0.000032,0.145,0.49
3,0.00214,0.000338,0.000070,0.297,0.55
4,0.00338,0.000410,0.000142,0.469,0.67
5,0.00473,0.000499,0.000231,0.655,0.82
6,0.00645,0.000620,0.000352,0.895,1.01
7,0.00792,0.000743,0.000475,1.10,1.21
8,0.00981,0.000920,0.000652,1.36,1.50
9,0.01182,0.001162,0.000894,1.64,1.90
10,0.01382,0.001395,0.001127,1.92,2.28
11,0.01596,0.00171,0.00144,2.21,2.79
12,0.01745,0.00191,0.00164,2.42,3.12
